year,inflation,exchange_rate,gdp_growth,unemployment,broad_money,exports,imports,oil_rents,remittances,date
1986.0,3.5,16.65,5.5,3.3,224.84,3.92,6.42,0.5,2.45,1986-01-01
1986.0833333333333,3.183409897892924,16.816934817316742,5.40862930105572,3.2792036319562645,228.64312546696868,4.043543862209348,6.329165727060115,0.542984115652554,2.448310494532126,1986-02-01
1986.1666666666667,2.9667394359484733,16.95707866779759,5.362531634686147,3.258880712580892,232.24945733386758,4.158101644422343,6.2574681726647485,0.5778346938885893,2.441312937350541,1986-03-01
1986.25,2.842735818597436,17.072772396911745,5.357654401970587,3.239114463712219,235.66768138250256,4.264130414516845,6.203893645229419,0.6051017532609413,2.429464626085822,1986-04-01
1986.3333333333333,2.804146250268709,17.166356850129585,5.389945003987918,3.2199881071884118,238.90648339470903,4.362087240371662,6.167428453169036,0.6253353123227403,2.4132228583684934,1986-05-01
1986.4166666666667,2.8437179353921236,17.240172872921242,5.455350841817428,3.2015848648476473,241.97454915232055,4.452429189865514,6.147058904898691,0.6390853896270398,2.3930449318290306,1986-06-01
1986.5,2.954198078397069,17.296561310756278,5.549819316537814,3.18398795852825,244.8805644371458,4.535613330876394,6.141771308833623,0.6469020037267901,2.3693881440980826,1986-07-01
1986.5833333333333,3.1283338837131733,17.337863009104886,5.669297829228274,3.1672806100683926,247.63321503101875,4.612096731283041,6.1505519733888825,0.649335173175062,2.342709792806135,1986-08-01
1986.6666666666667,3.358872555770757,17.366418813437082,5.809733780968285,3.151546041306258,250.24118671577182,4.682336458964125,6.1723872069796775,0.6469349165248671,2.313467175583643,1986-09-01
1986.75,3.638561298998169,17.384569569222673,5.967074572836133,3.1368674740801565,252.71316527321608,4.746789581797746,6.206263318021014,0.6402512523292438,2.2821175900613015,1986-10-01
1986.8333333333333,3.960147317825585,17.394656121931718,6.137267605911241,3.1233281302282685,255.05783648518437,4.805913167662588,6.251166614928063,0.6298341991412166,2.249118333869572,1986-11-01
1986.9166666666667,4.316377816683642,17.39901931703418,6.31626028127317,3.111011231588785,257.2838861335079,4.860164284437276,6.306083406116116,0.6162337755137688,2.214926704638897,1986-12-01
1987.0,4.7,17.4,6.5,3.1,259.4,4.91,6.37,0.6,2.18,1987-01-01
1987.0833333333333,5.10376107220521,17.39993901629915,6.6844341631712725,3.090377657300101,261.4148638664923,4.9558773822293976,6.44190270499498,0.5816828911529017,2.1447955175833258,1987-02-01
1987.1666666666667,5.520408237730044,17.401177211401606,6.865510171866538,3.082227425327293,263.3371635148153,4.998253499004064,6.520777829516411,0.5618324675254425,2.1097705550193155,1987-03-01
1987.25,5.942688701001832,17.406055430777325,7.039175427163866,3.0756325259198443,265.1755847267838,5.037585418202254,6.605611681978986,0.5409987476707562,2.075382409938699,1987-04-01
1987.3333333333333,6.363349666451319,17.41691451989626,7.2013773301428206,3.070676180915955,266.9388132842289,5.0743302077025705,6.695390570798042,0.5197317501418148,2.0420883799719154,1987-05-01
1987.4166666666667,6.775138338509233,17.436095324228436,7.348063281882843,3.0674416121538424,268.63553496898027,5.1089449353835885,6.7891008043889665,0.4985814934915857,2.010345762749418,1987-06-01
1987.5,7.170801921602932,17.465938689243718,7.475180683462187,3.06601204147175,270.2744355628542,5.141886669123607,6.885728691166377,0.47809799627320987,1.980611855901918,1987-07-01
1987.5833333333333,7.543087620163177,17.508785460412103,7.578676935960341,3.0664706907078902,271.8642008476807,5.173612476801203,6.984260539545652,0.4588312770396535,1.9533439570598623,1987-08-01
1987.6666666666667,7.884742638620475,17.56697648320373,7.654499440456536,3.0689007817004974,273.41351660528943,5.204579426294948,7.083682657942191,0.4413313543438961,1.9289993638537253,1987-09-01
1987.75,8.188514181402565,17.64285260308825,7.698595598029413,3.0733855362877818,274.93106861749743,5.235244585483155,7.182981354770581,0.4261482467390587,1.9080353739141782,1987-10-01
1987.8333333333333,8.44714945294005,17.73875466553576,7.706912809758285,3.0800081763079716,276.4255426661342,5.266065022244396,7.281142938446217,0.41383197277811523,1.8909092848716864,1987-11-01
